Arrival Time,Time in System,Request Service Time,Steal Count,Original Queue,Queue Length,Total Queue Length,Queue Checks,Time Left of Task Ahead,Requeue Wait Time,job_id,tasks_num_of_single_job,task_generation_time,completion_time
576,500,500,0,0,0,0,0,0,0,0,89,468,1075
661,500,500,0,0,0,0,0,415,0,0,89,468,1160
694,606,500,1,0,0,0,7,0,106,0,89,468,1299
727,5573,5500,0,2,0,1,0,73,0,0,89,468,6299
775,525,500,1,0,0,2,0,0,25,0,89,468,1299
809,501,500,1,0,0,0,0,5490,1,0,89,468,1309
962,5508,5500,0,2,0,0,0,5338,0,0,89,468,6469
971,605,500,0,0,0,0,2,105,0,0,89,468,1575
1003,577,500,1,0,0,1,0,5220,77,0,89,468,1579
1088,502,500,1,0,0,0,0,5210,2,0,89,468,1589
1260,5550,5500,0,2,0,0,0,5040,0,0,89,468,6809
1377,500,500,0,0,0,0,0,199,0,0,89,468,1876
1464,606,500,1,0,0,0,2,10,106,0,89,468,2069
2298,5502,5500,0,2,0,0,1,4002,0,1,84,2130,7799
2614,500,500,0,0,0,0,0,0,0,1,84,2130,3113
2646,500,500,0,0,0,0,0,468,0,1,84,2130,3145
2664,606,500,1,0,0,0,3,0,106,1,84,2130,3269
2686,594,500,1,0,0,1,0,490,94,1,84,2130,3279
2940,1620,500,1,0,0,0,1,3240,120,2,84,2800,4559
2947,613,500,1,0,0,1,1,3240,113,1,84,2130,3559
2983,1077,500,1,0,1,2,0,3240,77,1,84,2130,4059
2990,656,500,0,0,2,3,0,124,0,2,84,2800,3645
3047,832,500,1,0,3,4,2,0,333,2,84,2800,3878
3070,810,500,1,0,1,4,2,0,310,2,84,2800,3879
3087,1027,500,0,0,2,5,2,27,0,2,84,2800,4113
3090,524,500,0,0,3,6,0,24,0,1,84,2130,3613
3258,6802,5500,0,2,1,5,0,3042,0,2,84,2800,10059
3277,8523,5500,0,2,2,6,1,3023,0,2,84,2800,11799
3304,842,500,0,0,2,7,0,310,0,2,84,2800,4145
3391,1599,500,1,0,1,6,2,1,598,2,84,2800,4989
3415,2074,500,1,0,2,7,2,1,574,2,84,2800,5488
3538,1952,500,1,0,3,8,2,1,451,2,84,2800,5489
3673,2316,500,1,0,2,6,2,1,316,3,86,3553,5988
3790,2200,500,1,0,3,7,2,1,199,3,86,3553,5989
3849,765,500,0,0,4,8,2,265,0,4,88,3699,4613
3852,2637,500,1,0,5,9,2,1,137,3,86,3553,6488
3923,566,500,1,0,6,10,0,0,67,3,86,3553,4488
3934,556,500,1,0,7,11,0,0,56,3,86,3553,4489
3937,1052,500,1,0,8,12,0,0,53,3,86,3553,4988
3961,2649,500,1,0,9,13,1,0,2149,4,88,3699,6609
4018,2971,500,1,0,1,12,1,0,2092,4,88,3699,6988
4030,3080,500,1,0,2,13,1,0,2080,4,88,3699,7109
4140,506,500,0,0,2,12,0,474,0,3,86,3553,4645
4144,970,500,0,0,3,13,0,470,0,3,86,3553,5113
4204,942,500,0,0,3,13,0,410,0,3,86,3553,5145
4254,7716,5500,0,2,1,14,1,2046,0,3,86,3553,11969
4298,1316,500,0,0,4,15,0,316,0,3,86,3553,5613
4356,1290,500,0,0,5,16,0,258,0,3,86,3553,5645
4373,3116,500,1,0,6,17,1,0,1737,4,88,3699,7488
4373,3237,500,1,0,7,18,1,0,1737,4,88,3699,7609
4488,3501,500,1,0,8,19,1,0,1622,4,88,3699,7988
4491,1623,500,0,0,9,18,0,123,0,3,86,3553,6113
4530,1616,500,0,0,10,19,0,84,0,3,86,3553,6145
4556,3554,500,1,0,11,20,1,0,1554,4,88,3699,8109
4639,7671,5500,0,2,1,19,1,1661,0,4,88,3699,12309
4641,4348,500,1,0,11,20,1,0,1469,5,85,4404,8988
4651,3838,500,1,0,11,20,1,0,1459,4,88,3699,8488
4688,3922,500,1,0,12,21,1,0,1422,4,88,3699,8609
4700,4410,500,1,0,13,22,1,0,1410,5,85,4404,9109
4928,4561,500,1,0,14,23,1,0,1182,5,85,4404,9488
4959,1655,500,0,0,15,24,1,155,0,5,85,4404,6613
4998,1648,500,0,0,16,23,1,116,0,5,85,4404,6645
5242,1872,500,0,0,15,22,1,372,0,5,85,4404,7113
5258,1888,500,0,0,16,23,1,356,0,5,85,4404,7145
5305,2309,500,0,0,17,24,1,309,0,5,85,4404,7613
5650,1996,500,0,0,16,21,1,464,0,6,87,5434,7645
5685,2429,500,0,0,17,22,1,429,0,6,87,5434,8113
5719,2427,500,0,0,18,23,1,395,0,6,87,5434,8145
5761,2853,500,0,0,19,24,1,353,0,6,87,5434,8613
5829,2817,500,0,0,20,25,1,285,0,6,87,5434,8645
6050,3064,500,0,0,21,25,0,64,0,6,87,5434,9113
6122,3024,500,0,0,9,24,0,492,0,6,87,5434,9145
6142,3472,500,0,0,10,25,0,472,0,6,87,5434,9613
6166,3480,500,0,0,10,25,1,448,0,6,87,5434,9645
6232,3498,500,1,0,11,26,1,0,2998,6,87,5434,9729
6251,7049,5500,0,2,2,27,0,49,0,6,87,5434,13299
6327,9233,5500,0,2,2,27,1,5473,0,6,87,5434,15559
6435,3554,500,1,0,12,28,1,0,2795,7,80,6269,9988
6440,3790,500,1,0,13,29,1,0,2790,7,80,6269,10229
6446,4043,500,1,0,14,30,1,0,2784,7,80,6269,10488
6452,4278,500,1,0,15,31,1,0,2778,7,80,6269,10729
6579,4410,500,1,0,16,30,1,0,2651,7,80,6269,10988
7152,4078,500,1,0,13,23,1,0,2078,7,80,6269,11229
7210,4279,500,1,0,14,24,1,0,2020,7,80,6269,11488
7233,4497,500,1,0,15,25,1,0,1997,7,80,6269,11729
7632,4357,500,1,0,15,23,1,0,1598,8,90,7503,11988
7688,9612,5500,0,2,1,23,1,4112,0,8,90,7503,17299
7752,4478,500,1,0,15,24,1,0,1478,8,90,7503,12229
7766,2880,500,0,0,16,25,1,348,0,9,89,7539,10645
7863,4626,500,1,0,17,25,1,0,1367,8,90,7503,12488
7889,3225,500,0,0,18,26,1,225,0,9,89,7539,11113
7900,3246,500,0,0,19,27,1,214,0,9,89,7539,11145
7913,4817,500,1,0,20,28,1,0,1317,8,90,7503,12729
7994,3620,500,0,0,21,28,1,120,0,9,89,7539,11613
8000,4989,500,1,0,22,29,1,0,1230,8,90,7503,12988
8019,3627,500,0,0,23,30,1,95,0,9,89,7539,11645
8020,5210,500,1,0,24,31,1,0,1210,8,90,7503,13229
8137,3977,500,0,0,24,30,1,477,0,9,89,7539,12113
8146,5343,500,1,0,25,31,1,0,1084,8,90,7503,13488
8148,3998,500,0,0,25,31,1,466,0,9,89,7539,12145
8163,4451,500,0,0,26,32,1,451,0,9,89,7539,12613
8197,5533,500,1,0,27,33,1,0,1033,8,90,7503,13729
8316,5673,500,1,0,28,34,1,0,914,8,90,7503,13988
8318,4328,500,0,0,29,35,1,296,0,9,89,7539,12645
8329,1785,500,0,0,30,36,1,285,0,8,90,7503,10113
8361,4753,500,0,0,31,37,1,253,0,9,89,7539,13113
8412,1734,500,0,0,32,38,1,202,0,8,90,7503,10145
8435,2179,500,0,0,33,39,1,179,0,8,90,7503,10613
8468,4678,500,0,0,34,40,1,146,0,9,89,7539,13145
8471,5143,500,0,0,35,41,1,143,0,9,89,7539,13613
8533,5113,500,0,0,36,41,1,81,0,9,89,7539,13645
9061,8409,5500,0,2,1,38,1,2739,0,10,81,8819,17469
9135,4979,500,0,0,34,38,0,479,0,10,81,8819,14113
9412,4734,500,0,0,16,37,0,202,0,10,81,8819,14145
9448,4892,500,1,0,17,38,1,0,4392,10,81,8819,14339
9524,4965,500,1,0,18,38,1,0,4316,10,81,8819,14488
9557,5283,500,1,0,19,39,1,0,4283,10,81,8819,14839
9558,5431,500,1,0,20,40,1,0,4282,10,81,8819,14988
9659,5681,500,1,0,19,39,1,0,4181,10,81,8819,15339
9670,5819,500,1,0,20,40,1,0,4170,10,81,8819,15488
9752,6088,500,1,0,21,40,1,0,4088,10,81,8819,15839
9753,8057,5500,0,2,2,41,0,2047,0,10,81,8819,17809
9799,6190,500,1,0,22,42,1,0,4041,10,81,8819,15988
10308,6032,500,1,0,21,38,1,0,3532,11,90,10094,16339
10401,6088,500,1,0,22,39,1,0,3439,11,90,10094,16488
10541,6299,500,1,0,23,39,1,0,3299,11,90,10094,16839
10552,6437,500,1,0,24,40,1,0,3288,11,90,10094,16988
10702,6638,500,1,0,23,39,1,0,3138,11,90,10094,17339
10760,6729,500,1,0,24,39,1,0,3080,11,90,10094,17488
10761,7079,500,1,0,25,40,1,0,3079,11,90,10094,17839
10839,7150,500,1,0,26,41,1,0,3001,11,90,10094,17988
10936,7404,500,1,0,27,42,1,0,2904,11,90,10094,18339
11015,7474,500,1,0,28,42,1,0,2825,11,90,10094,18488
11057,7783,500,1,0,29,43,1,0,2783,11,90,10094,18839
11415,7574,500,1,0,28,41,1,0,2425,12,80,11307,18988
11429,7911,500,1,0,29,42,1,0,2411,12,80,11307,19339
11520,7280,5500,0,2,2,42,0,280,0,12,80,11307,18799
11699,8641,500,1,0,28,41,1,0,2141,13,80,11507,20339
11772,2874,500,0,0,29,41,1,342,0,14,82,11671,14645
11891,7598,500,1,0,30,41,1,0,1949,12,80,11307,19488
11893,4721,500,0,0,31,42,1,221,0,15,88,11772,16613
12021,3093,500,0,0,32,41,1,93,0,14,82,11671,15113
12038,3108,500,0,0,33,42,1,76,0,14,82,11671,15145
12040,4606,500,0,0,34,43,1,74,0,15,88,11772,16645
12049,5065,500,0,0,35,44,1,65,0,15,88,11772,17113
12051,8438,500,1,0,36,45,1,0,1789,13,80,11507,20488
12055,5091,500,0,0,37,46,1,59,0,15,88,11772,17145
12063,8777,500,1,0,38,47,1,0,1777,13,80,11507,20839
12066,5548,500,0,0,39,48,1,48,0,15,88,11772,17613
12078,7762,500,1,0,40,49,1,0,1762,12,80,11307,19839
12085,8904,500,1,0,41,50,1,0,1755,13,80,11507,20988
12115,9225,500,1,0,41,50,1,0,1725,13,80,11507,21339
12128,9361,500,1,0,42,51,1,0,1712,13,80,11507,21488
12149,5497,500,0,0,42,51,1,465,0,15,88,11772,17645
12220,5894,500,0,0,43,52,1,394,0,15,88,11772,18113
12274,6872,500,0,0,44,52,1,340,0,16,82,12168,19145
12275,5871,500,0,0,45,53,1,339,0,15,88,11772,18145
12305,7684,500,1,0,46,54,1,0,1535,12,80,11307,19988
12314,7300,500,0,0,47,54,1,300,0,16,82,12168,19613
12333,6281,500,0,0,48,55,1,281,0,15,88,11772,18613
12357,3257,500,0,0,49,56,1,257,0,14,82,11671,15613
12391,7255,500,0,0,50,57,1,223,0,16,82,12168,19645
12394,9446,500,1,0,51,58,1,0,1446,13,80,11507,21839
12411,3235,500,0,0,52,59,1,203,0,14,82,11671,15645
12423,7691,500,0,0,53,60,1,191,0,16,82,12168,20113
12424,3690,500,0,0,54,61,1,190,0,14,82,11671,16113
12455,9534,500,1,0,55,62,1,0,1385,13,80,11507,21988
12457,2157,500,0,0,56,63,1,157,0,13,80,11507,14613
12471,7675,500,0,0,57,64,1,143,0,16,82,12168,20145
12524,8090,500,0,0,58,64,1,90,0,16,82,12168,20613
12545,6101,500,0,0,59,65,1,69,0,15,88,11772,18645
12577,8069,500,0,0,60,66,1,37,0,16,82,12168,20645
12595,3551,500,0,0,61,67,1,19,0,14,82,11671,16145
12624,8436,5500,0,2,0,67,0,4676,0,15,88,11772,21059
12643,6471,500,0,0,61,68,1,471,0,15,88,11772,19113
13139,7975,500,0,0,60,65,1,475,0,16,82,12168,21113
13197,7949,500,0,0,60,65,1,417,0,17,85,13025,21145
13243,9557,5500,0,2,1,65,0,4057,0,17,85,13025,22799
13276,8338,500,0,0,61,66,1,338,0,17,85,13025,21613
13489,8157,500,0,0,62,66,1,125,0,17,85,13025,21645
13811,8303,500,0,0,61,64,0,303,0,17,85,13025,22113
13878,8268,500,0,0,30,64,0,236,0,17,85,13025,22145
13934,8526,500,1,0,31,65,1,0,8026,17,85,13025,22459
14258,8712,5500,0,2,1,63,0,3042,0,18,87,14120,22969
14428,8061,500,1,0,30,63,1,0,7532,18,87,14120,22488
14434,8526,500,1,0,31,64,1,0,7526,18,87,14120,22959
14470,8519,500,1,0,32,65,1,0,7490,18,87,14120,22988
14495,8965,500,1,0,33,65,1,0,7465,18,87,14120,23459
14528,8961,500,1,0,34,66,1,0,7432,18,87,14120,23488
14662,9298,500,1,0,33,65,1,0,7298,18,87,14120,23959
14681,9308,500,1,0,34,66,1,0,7279,18,87,14120,23988
14846,8464,5500,0,2,2,66,0,2454,0,18,87,14120,23309
15009,9291,5500,0,2,3,66,0,2291,0,18,87,14120,24299
15095,11465,5500,0,2,4,67,0,2205,0,18,87,14120,26559
15579,8881,500,1,0,33,63,1,0,6381,19,80,15402,24459
15674,8815,500,1,0,32,62,1,0,6286,19,80,15402,24488
15696,9264,500,1,0,33,63,1,0,6264,19,80,15402,24959
15728,11261,500,1,0,34,64,1,0,6232,20,84,15509,26988
15733,11727,500,1,0,35,65,1,0,6227,20,84,15509,27459
15765,6849,500,0,0,36,66,1,349,0,20,84,15509,22613
15856,9133,500,1,0,37,66,1,0,6104,19,80,15402,24988
15874,9586,500,1,0,38,67,1,0,6086,19,80,15402,25459
15901,6745,500,0,0,39,68,1,213,0,20,84,15509,22645
15975,9514,500,1,0,40,69,1,0,5985,19,80,15402,25488
15976,7138,500,0,0,41,70,1,138,0,20,84,15509,23113
16004,7142,500,0,0,42,70,1,110,0,20,84,15509,23145
16026,12274,5500,0,2,4,71,1,1274,0,19,80,15402,28299
16059,7521,500,1,0,43,72,2,5220,7021,20,84,15509,23579
16060,8750,500,1,0,44,73,2,5220,7020,21,87,15796,24809
16066,7744,500,1,0,45,74,2,5220,7014,20,84,15509,23809
16073,8007,500,1,0,46,75,2,5220,7007,20,84,15509,24079
16076,9884,500,1,0,47,76,1,0,5884,19,80,15402,25959
16093,8987,500,1,0,48,77,2,5220,6987,21,87,15796,25079
16115,9874,500,1,0,48,77,1,0,5845,19,80,15402,25988
16123,10337,500,1,0,49,78,1,0,5837,19,80,15402,26459
16125,9175,500,1,0,50,79,2,5220,6955,21,87,15796,25299
16152,10337,500,1,0,50,79,1,0,5808,19,80,15402,26488
16161,9149,500,1,0,51,80,2,5220,6919,21,87,15796,25309
16234,8076,500,1,0,52,81,2,5220,6846,20,84,15509,24309
16307,8273,500,1,0,53,82,2,5220,6773,20,84,15509,24579
16314,8486,500,1,0,54,83,2,5220,6766,20,84,15509,24799
16392,10568,500,1,0,55,83,1,0,5568,19,80,15402,26959
16404,9176,500,1,0,56,84,2,5220,6676,21,87,15796,25579
16488,7126,500,0,0,57,85,2,126,0,21,87,15796,23613
16508,7138,500,0,0,58,85,2,106,0,21,87,15796,23645
16563,7551,500,0,0,59,86,2,51,0,21,87,15796,24113
16755,7391,500,0,0,58,85,2,359,0,21,87,15796,24145
16791,7823,500,0,0,59,86,2,323,0,21,87,15796,24613
22767,1879,500,0,0,15,34,1,347,0,22,87,22665,24645
22778,2336,500,0,0,16,35,1,336,0,22,87,22665,25113
22790,2356,500,0,0,17,36,1,324,0,22,87,22665,25145
22931,2683,500,0,0,18,36,1,183,0,22,87,22665,25613
22964,2682,500,0,0,19,36,1,150,0,22,87,22665,25645
23029,3085,500,0,0,20,36,0,85,0,22,87,22665,26113
23087,3059,500,0,0,10,36,0,27,0,22,87,22665,26145
23140,3474,500,0,0,10,36,0,474,0,22,87,22665,26613
23145,3501,500,0,0,11,37,0,469,0,22,87,22665,26645
23200,3914,500,0,0,11,37,0,414,0,22,87,22665,27113
23310,7490,5500,0,2,9,38,0,4990,0,23,87,23201,30799
23329,5131,500,1,0,12,38,1,351,3780,23,87,23201,28459
23344,3802,500,0,0,13,39,0,270,0,22,87,22665,27145
23480,5129,500,1,0,14,39,1,351,3629,23,87,23201,28608
23490,4119,500,1,0,15,39,1,351,3619,22,87,22665,27608
23497,4463,500,1,0,16,40,1,351,3612,22,87,22665,27959
23619,4490,500,1,0,16,39,1,351,3490,22,87,22665,28108
23649,5311,500,1,0,16,39,1,351,3460,23,87,23201,28959
23682,5427,500,1,0,17,40,1,351,3427,23,87,23201,29108
23727,7083,5500,0,2,8,41,0,4573,0,23,87,23201,30809
23742,5718,500,1,0,18,42,1,351,3367,23,87,23201,29459
23762,5847,500,1,0,19,43,1,351,3347,23,87,23201,29608
23806,6154,500,1,0,20,44,1,351,3303,23,87,23201,29959
23973,6136,500,1,0,21,43,1,351,3136,23,87,23201,30108
24017,6443,500,1,0,22,43,1,351,3092,23,87,23201,30459
24063,6546,500,1,0,23,44,1,351,3046,23,87,23201,30608
24066,6894,500,1,0,24,45,1,351,3043,23,87,23201,30959
24094,7015,500,1,0,25,45,1,351,3015,23,87,23201,31108
24161,7299,500,1,0,24,44,1,351,2948,23,87,23201,31459
24193,6887,5500,0,2,7,45,0,4107,0,23,87,23201,31079
25655,5954,500,1,0,19,25,1,351,1454,24,83,25408,31608
25679,6281,500,1,0,20,26,1,351,1430,24,83,25408,31959
25686,6423,500,1,0,21,27,1,351,1423,24,83,25408,32108
25704,1910,500,0,0,22,28,1,410,0,24,83,25408,27613
25837,1809,500,0,0,23,29,1,277,0,24,83,25408,27645
25869,2245,500,0,0,24,30,1,245,0,24,83,25408,28113
25890,2256,500,0,0,25,31,1,224,0,24,83,25408,28145
25953,2661,500,0,0,26,32,1,161,0,24,83,25408,28613
26118,2528,500,0,0,26,30,1,496,0,24,83,25408,28645
26136,3010,500,0,0,27,31,1,478,0,25,81,25976,29145
26183,3431,500,0,0,27,31,1,431,0,25,81,25976,29613
26276,3370,500,0,0,28,32,1,338,0,25,81,25976,29645
26284,3830,500,0,0,29,33,1,330,0,25,81,25976,30113
26295,5765,5500,0,2,0,34,0,2005,0,25,81,25976,32059
26295,3851,500,0,0,30,35,1,319,0,25,81,25976,30145
26359,2755,500,0,0,31,36,1,255,0,24,83,25408,29113
26433,4181,500,0,0,32,37,1,181,0,25,81,25976,30613
26463,4183,500,0,0,33,37,1,151,0,25,81,25976,30645
26534,4580,500,0,0,34,37,1,80,0,25,81,25976,31113
26553,4593,500,0,0,35,38,1,61,0,25,81,25976,31145
26619,4995,500,0,0,35,37,1,495,0,25,81,25976,31613
26847,4799,500,0,0,35,37,1,267,0,25,81,25976,31645
27091,5023,500,0,0,36,37,0,23,0,26,86,26950,32113
27167,4979,500,0,0,16,35,0,447,0,26,86,26950,32145
27214,5356,500,1,0,17,36,1,0,4856,26,86,26950,32569
27263,5346,500,1,0,18,37,1,0,4807,26,86,26950,32608
27274,6526,5500,0,2,0,38,0,1026,0,26,86,26950,33799
27327,5743,500,1,0,19,39,1,0,4743,26,86,26950,33069
27413,5696,500,1,0,20,40,1,0,4657,26,86,26950,33108
27510,6060,500,1,0,21,40,1,0,4560,26,86,26950,33569
27599,8701,5500,0,2,0,41,0,701,0,26,86,26950,36299
27623,5986,500,1,0,21,40,1,0,4447,26,86,26950,33608
27655,6415,500,1,0,21,40,1,0,4415,26,86,26950,34069
27674,6435,500,1,0,22,41,1,0,4396,26,86,26950,34108
27795,6775,500,1,0,23,42,1,0,4275,26,86,26950,34569
27864,6745,500,1,0,24,43,1,0,4206,26,86,26950,34608
29180,5890,500,1,0,19,31,1,0,2890,27,81,29064,35069
29215,5894,500,1,0,20,32,1,0,2855,27,81,29064,35108
29411,6159,500,1,0,21,33,1,0,2659,27,81,29064,35569
29536,6073,500,1,0,22,33,1,0,2534,27,81,29064,35608
29538,6532,500,1,0,23,34,1,0,2532,27,81,29064,36069
29575,6534,500,1,0,24,35,1,0,2495,27,81,29064,36108
29600,6710,5500,0,2,0,36,0,4200,0,27,81,29064,36309
29666,6904,500,1,0,23,34,1,0,2404,27,81,29064,36569
29766,7804,500,1,0,24,35,1,0,2304,28,90,29629,37569
29777,7832,500,1,0,25,36,1,0,2293,28,90,29629,37608
29785,6824,500,1,0,26,37,1,0,2285,27,81,29064,36608
29793,7277,500,1,0,27,38,1,0,2277,27,81,29064,37069
29821,6759,5500,0,2,1,39,0,3979,0,27,81,29064,36579
29839,7721,5500,0,2,2,40,0,3961,0,27,81,29064,37559
29932,7177,500,1,0,28,41,1,0,2138,27,81,29064,37108
30009,8061,500,1,0,29,41,1,0,2061,28,90,29629,38069
30036,8073,500,1,0,30,42,1,0,2034,28,90,29629,38108
30043,8527,500,1,0,31,43,1,0,2027,28,90,29629,38569
30245,9055,5500,0,2,3,41,0,3555,0,28,90,29629,39299
30287,8322,500,1,0,30,42,1,0,1783,28,90,29629,38608
30326,3820,500,0,0,31,43,1,288,0,29,85,30024,34145
30359,2255,500,0,0,32,44,1,255,0,28,90,29629,32613
30403,2243,500,0,0,33,45,1,211,0,28,90,29629,32645
30419,2695,500,0,0,34,46,1,195,0,28,90,29629,33113
30422,2724,500,0,0,35,47,1,192,0,28,90,29629,33145
30434,3180,500,0,0,36,48,1,180,0,28,90,29629,33613
30446,4168,500,0,0,37,49,1,168,0,29,85,30024,34613
30466,4180,500,0,0,38,49,1,148,0,29,85,30024,34645
30515,3131,500,0,0,39,50,1,99,0,28,90,29629,33645
30519,4595,500,0,0,40,51,1,95,0,29,85,30024,35113
30595,4551,500,0,0,41,52,1,19,0,29,85,30024,35145
30606,3508,500,0,0,42,53,1,8,0,28,90,29629,34113
30630,4984,500,0,0,42,52,1,484,0,29,85,30024,35613
30667,4979,500,0,0,42,52,1,447,0,29,85,30024,35645
30674,11126,5500,0,2,4,53,0,3126,0,29,85,30024,41799
30695,5419,500,0,0,43,54,1,419,0,29,85,30024,36113
30829,10981,5500,0,2,3,53,0,2971,0,29,85,30024,41809
30904,5242,500,0,0,44,54,1,210,0,29,85,30024,36145
30938,5676,500,0,0,45,55,1,176,0,29,85,30024,36613
31364,5282,500,0,0,44,51,1,250,0,30,90,31010,36645
31457,5657,500,0,0,45,52,1,157,0,30,90,31010,37113
31581,5565,500,0,0,46,52,1,33,0,30,90,31010,37145
31594,6020,500,0,0,47,53,1,20,0,30,90,31010,37613
31644,10436,5500,0,2,3,52,0,2156,0,30,90,31010,42079
31675,5971,500,0,0,46,52,1,439,0,30,90,31010,37645
31804,6310,500,0,0,47,53,1,310,0,30,90,31010,38113
31838,6308,500,0,0,48,54,1,276,0,30,90,31010,38145
31973,6641,500,0,0,49,55,0,141,0,30,90,31010,38613
32837,10223,5500,0,2,3,47,0,963,0,31,90,32724,43059
32998,5648,500,0,0,20,48,0,116,0,31,90,32724,38645
33003,6111,500,0,0,21,49,1,111,0,31,90,32724,39113
33040,6106,500,0,0,22,50,2,74,0,31,90,32724,39145
33344,6345,500,1,0,21,47,2,0,5346,32,89,33112,39688
33395,5794,500,1,0,22,48,2,0,5295,31,90,32724,39188
33428,6262,500,1,0,23,49,2,0,5262,32,89,33112,39689
33470,5720,500,1,0,24,50,2,0,5220,31,90,32724,39189
33485,6704,500,1,0,25,51,2,0,5205,32,89,33112,40188
33583,6607,500,1,0,26,51,2,0,5107,32,89,33112,40189
33719,6970,500,1,0,25,49,2,0,4971,32,89,33112,40688
33760,6930,500,1,0,26,50,2,0,4930,32,89,33112,40689
33820,7369,500,1,0,27,50,2,0,4870,32,89,33112,41188
33890,7300,500,1,0,28,51,2,0,4800,32,89,33112,41189
33936,10864,5500,0,2,3,52,1,5364,0,32,89,33112,44799
33943,7746,500,1,0,29,53,2,0,4747,32,89,33112,41688
33955,7735,500,1,0,30,54,2,0,4735,32,89,33112,41689
34089,8100,500,1,0,31,54,2,0,4601,32,89,33112,42188
34745,7445,500,1,0,28,48,2,0,3945,33,90,34622,42189
34839,7850,500,1,0,29,49,2,0,3851,33,90,34622,42688
34930,7760,500,1,0,30,50,2,0,3760,33,90,34622,42689
35007,4607,500,0,0,31,51,2,107,0,33,90,34622,39613
35022,12278,5500,0,2,4,52,1,4278,0,33,90,34622,47299
35150,4496,500,0,0,30,49,2,464,0,33,90,34622,39645
35195,4919,500,0,0,31,50,2,419,0,33,90,34622,40113
35235,4911,500,0,0,32,51,2,379,0,33,90,34622,40145
35303,5311,500,0,0,33,52,2,311,0,33,90,34622,40613
35324,5322,500,0,0,34,53,2,290,0,33,90,34622,40645
35392,5722,500,0,0,35,54,2,222,0,33,90,34622,41113
35464,5682,500,0,0,36,55,2,150,0,33,90,34622,41145
38112,3502,500,0,0,27,30,2,2,0,34,84,37761,41613
38183,3463,500,0,0,26,29,2,431,0,34,84,37761,41645
38207,3907,500,0,0,27,30,2,407,0,34,84,37761,42113
38298,3848,500,0,0,28,31,2,316,0,34,84,37761,42145
38583,4031,500,0,0,29,32,2,31,0,34,84,37761,42613
38637,4009,500,0,0,29,32,0,477,0,34,84,37761,42645
38655,4459,500,0,0,29,32,0,459,0,34,84,37761,43113
38761,4385,500,0,0,14,31,0,353,0,34,84,37761,43145
38893,4406,500,1,0,15,32,2,11,3906,35,81,38691,43298
38924,4375,500,1,0,16,33,2,11,3875,35,81,38691,43298
38927,4872,500,1,0,17,34,2,11,3872,35,81,38691,43798
38929,4870,500,1,0,18,35,2,11,3870,35,81,38691,43798
39085,5214,500,1,0,19,36,2,11,3714,35,81,38691,44298
39157,9403,5500,0,2,1,35,1,143,0,37,88,38987,48559
39195,7604,500,1,0,18,34,2,11,3604,37,88,38987,46798
39243,7556,500,1,0,19,35,2,11,3556,37,88,38987,46798
39278,8021,500,1,0,20,36,2,11,3521,37,88,38987,47298
39331,10468,500,1,0,21,36,2,11,3468,38,82,39132,49798
39336,10463,500,1,0,22,37,2,11,3463,38,82,39132,49798
39361,10939,5500,0,2,1,38,1,5439,0,37,88,38987,50299
39368,7931,500,1,0,23,39,2,11,3431,37,88,38987,47298
39376,7934,5500,0,2,2,40,0,5424,0,35,81,38691,47309
39433,8366,500,1,0,24,41,2,11,3366,37,88,38987,47798
39439,4860,500,1,0,25,42,2,11,3360,35,81,38691,44298
39448,5351,500,1,0,26,43,2,11,3351,36,86,38969,44798
39530,10769,500,1,0,27,44,2,11,3269,38,82,39132,50298
39539,5760,500,1,0,28,45,2,11,3260,36,86,38969,45298
39554,5245,500,1,0,29,46,2,11,3245,35,81,38691,44798
39565,5734,500,1,0,30,47,2,11,3234,36,86,38969,45298
39565,6234,500,1,0,31,48,2,11,3234,36,86,38969,45798
39570,8010,5500,0,2,3,49,0,5230,0,36,86,38969,47579
39633,10666,500,1,0,31,49,2,11,3166,38,82,39132,50298
39654,6145,500,1,0,31,49,2,11,3145,36,86,38969,45798
39660,8139,500,1,0,32,50,2,11,3139,37,88,38987,47798
39675,8624,500,1,0,33,51,2,11,3124,37,88,38987,48298
39694,6605,500,1,0,34,50,2,11,3105,36,86,38969,46298
39697,6602,500,1,0,35,51,2,11,3102,36,86,38969,46298
39723,8576,500,1,0,36,52,2,11,3076,37,88,38987,48298
39750,9049,500,1,0,37,53,2,11,3049,37,88,38987,48798
39766,11033,500,1,0,38,54,2,11,3033,38,82,39132,50798
39779,9020,500,1,0,39,55,2,11,3020,37,88,38987,48798
39816,9483,500,1,0,40,56,2,11,2983,37,88,38987,49298
39845,9454,500,1,0,41,57,2,11,2954,37,88,38987,49298
39979,10820,500,1,0,42,58,2,11,2820,38,82,39132,50798
40052,11247,500,1,0,43,59,2,11,2747,38,82,39132,51298
40053,12747,5500,0,2,4,60,1,4747,0,38,82,39132,52799
40100,11199,500,1,0,44,61,2,11,2699,39,82,39977,51298
40186,11613,500,1,0,43,60,2,11,2613,39,82,39977,51798
40194,11605,500,1,0,44,59,2,11,2605,39,82,39977,51798
40438,3176,500,0,0,45,60,2,176,0,39,82,39977,43613
40528,3586,500,0,0,46,61,2,86,0,40,86,40294,44113
40560,3586,500,0,0,47,62,2,54,0,40,86,40294,44145
40585,4029,500,0,0,48,63,2,29,0,40,86,40294,44613
40678,3968,500,0,0,47,62,2,436,0,40,86,40294,44645
